,ame,Long,Lat,Ele,Time,geometry,X,Y
525,10002428,32.69299127,-117.2272982,-35.173,17:27:35,POINT (478693.49245329434 3617275.4408258284),478693.4925,3617275.441
526,10002429,32.69298495,-117.2272946,-35.144,17:27:36,POINT (478693.82841293607 3617274.739499704),478693.8284,3617274.739
527,10002430,32.69297818,-117.2272917,-35.104,17:27:37,POINT (478694.0986489312 3617273.9884292423),478694.0986,3617273.988
528,10002431,32.69297117,-117.2272895,-35.12,17:27:38,POINT (478694.30321107403 3617273.210894002),478694.3032,3617273.211
529,10002432,32.69296443,-117.2272891,-35.107,17:27:39,POINT (478694.3391079229 3617272.4636507183),478694.3391,3617272.464
530,10002433,32.69295795,-117.2272898,-35.085,17:27:40,POINT (478694.27195404615 3617271.7454504147),478694.272,3617271.745
531,10002434,32.69295182,-117.2272917,-35.106,17:27:41,POINT (478694.09239691304 3617271.0662901057),478694.0924,3617271.066
532,10002435,32.69294541,-117.2272923,-35.114,17:27:42,POINT (478694.0346334676 3617270.3558295975),478694.0346,3617270.356
533,10002436,32.69293898,-117.2272949,-35.118,17:27:43,POINT (478693.78938814736 3617269.643553209),478693.7894,3617269.644
534,10002437,32.69293242,-117.2272987,-35.205,17:27:44,POINT (478693.43162567675 3617268.9171064044),478693.4316,3617268.917
535,10002438,32.69292605,-117.2273007,-35.112,17:27:45,POINT (478693.2426376542 3617268.211360965),478693.2426,3617268.211
536,10002439,32.69291963,-117.2273024,-35.207,17:27:46,POINT (478693.0817593226 3617267.50001259),478693.0818,3617267.5
537,10002440,32.69291399,-117.2272996,-35.108,17:27:47,POINT (478693.34288962325 3617266.8742283857),478693.3429,3617266.874
538,10002441,32.69290794,-117.227297,-35.08,17:27:48,POINT (478693.585174996 3617266.203033741),478693.5852,3617266.203
539,10002442,32.69290215,-117.2272921,-35.126,17:27:49,POINT (478694.0431208447 3617265.560200016),478694.0431,3617265.56
540,10002443,32.69289615,-117.2272909,-35.135,17:27:50,POINT (478694.154184105 3617264.894828991),478694.1542,3617264.895
541,10002444,32.69288951,-117.2272872,-35.118,17:27:51,POINT (478694.4994421201 3617264.1580092255),478694.4994,3617264.158
542,10002445,32.69288314,-117.2272849,-35.207,17:27:52,POINT (478694.71353015606 3617263.4514011755),478694.7135,3617263.451
543,10002446,32.69287721,-117.2272856,-35.229,17:27:53,POINT (478694.6465066975 3617262.7941711545),478694.6465,3617262.794
544,10002447,32.69287063,-117.2272849,-35.254,17:27:54,POINT (478694.7105631548 3617262.064604512),478694.7106,3617262.065
545,10002448,32.6928644,-117.2272862,-35.258,17:27:55,POINT (478694.5872253518 3617261.3742383397),478694.5872,3617261.374
546,10002449,32.69285808,-117.2272886,-35.264,17:27:56,POINT (478694.3607536748 3617260.6741158785),478694.3608,3617260.674
547,10002450,32.69285156,-117.2272905,-35.229,17:27:57,POINT (478694.18110385654 3617259.9517221097),478694.1811,3617259.952
548,10002451,32.69284499,-117.2272895,-35.145,17:27:58,POINT (478694.2732842693 3617259.223203834),478694.2733,3617259.223
549,10002452,32.69283836,-117.2272868,-35.272,17:27:59,POINT (478694.5248062013 3617258.4876932334),478694.5248,3617258.488
550,10002453,32.69283245,-117.2272835,-35.112,17:28:00,POINT (478694.83274213574 3617257.831877914),478694.8327,3617257.832
551,10002454,32.69282635,-117.2272805,-35.222,17:28:01,POINT (478695.1125114446 3617257.155060324),478695.1125,3617257.155
552,10002455,32.69282023,-117.2272781,-35.147,17:28:02,POINT (478695.336032838 3617256.4761459995),478695.336,3617256.476
553,10002456,32.6928138,-117.2272753,-35.156,17:28:03,POINT (478695.59697622136 3617255.762786378),478695.597,3617255.763
