x,y,Linear Conductivity,Linear Resistivity,Depth,DOI,DOI Flag
448589.4934,4177631.443,16.330188,61.23628217,-0.15,-4.879574469,0
448589.3963,4177632.263,15.49412659,64.54058536,-0.15,-4.879574469,0
448589.3353,4177633.083,14.62411798,68.38019232,-0.15,-4.879574469,0
448589.2928,4177633.902,13.72580985,72.8554461,-0.15,-4.879574469,0
448589.2546,4177634.692,12.7713367,78.30033956,-0.15,-4.879574469,0
448589.2286,4177635.474,11.8532979,84.36470667,-0.15,-4.879574469,0
448589.1945,4177636.213,10.96414195,91.20640766,-0.15,-4.879574469,0
448589.1453,4177636.941,10.12561972,98.75938736,-0.15,-4.879574469,0
448589.0915,4177637.65,9.441447382,105.9159639,-0.15,-4.879574469,0
448589.0465,4177638.343,8.871691347,112.7180783,-0.15,-4.879574469,0
448589.0341,4177639.03,8.412038584,118.8772484,-0.15,-4.879574469,0
448589.0365,4177639.702,8.129294006,123.0119121,-0.15,-4.879574469,0
