Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Rs-Check,Vab (V),Channel,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Y Average tab raw 0,Y Average tab raw 10,Y Average tab raw 20,Y Average tab raw 30,Y Average tab raw 40,Y Average tab raw 50,Y Average tab raw 60,Y Average tab raw 70,Y Average tab raw 80,Y Average tab raw 90,Y Average tab raw 100,Y Average tab raw 110,Y Average tab raw 120,Y Average tab raw 130,Y Average tab raw 140,Y Average tab raw 150,Y Average tab raw 160,Y Average tab raw 170,Y Average tab raw 180,Y Average tab raw 190,Y Average tab raw 200,Y Average tab raw 210,Y Average tab raw 220,Y Average tab raw 230,Y Average tab raw 240,recip error (%)
,Mixed / non conventional,4.0,8.0,11.0,1.0,5.27,0.02,219.4,-398.556,1246.885,250,-16.49,0.0,50,5,11.96,30.0,16.31,39.3,-385.541,-325.357,-180.236,25.292,218.547,346.159,403.714,416.841,412.763,406.828,403.475,402.086,401.299,400.489,399.633,398.895,398.364,398.008,397.766,397.611,397.53,397.484,397.422,397.312,396.68,0.0
,Mixed / non conventional,4.0,8.0,1.0,12.0,5.41,0.02,78.79,338.845,1246.885,250,19.92,0.0,50,6,11.96,30.0,16.31,39.3,-327.76,-276.588,-153.202,21.537,185.833,294.314,343.23,354.376,350.906,345.867,343.027,341.852,341.184,340.493,339.762,339.131,338.674,338.368,338.159,338.024,337.954,337.917,337.865,337.773,337.238,0.0
,Mixed / non conventional,4.0,8.0,12.0,16.0,5.33,0.02,-120.07,-88.078,1246.885,250,-75.4,0.0,50,7,11.96,30.0,16.31,39.3,-85.2,-71.937,-39.914,5.495,48.239,76.49,89.244,92.156,91.253,89.936,89.191,88.881,88.705,88.526,88.337,88.169,88.043,87.955,87.893,87.852,87.834,87.83,87.822,87.8,87.658,0.0
,Mixed / non conventional,4.0,8.0,10.0,6.0,5.33,0.02,-59.54,-352.038,1245.188,250,-18.85,0.0,50,1,11.95,30.0,16.31,39.3,-339.456,-286.6,-158.834,22.384,193.038,305.973,357.11,368.921,365.4,360.111,357.026,355.659,354.848,354.051,353.242,352.529,351.956,351.484,351.067,350.691,350.356,350.068,349.841,349.677,349.143,0.0
,Mixed / non conventional,4.0,8.0,6.0,7.0,4.14,0.03,68.56,547.626,1245.188,250,9.42,0.0,50,2,11.95,30.0,16.31,39.3,-528.219,-446.159,-247.582,34.278,299.864,475.728,555.423,573.869,568.399,560.15,555.327,553.185,551.911,550.662,549.403,548.303,547.418,546.682,546.021,545.423,544.895,544.451,544.107,543.864,543.055,0.0
,Mixed / non conventional,4.0,8.0,7.0,5.0,3.5,0.02,-45.02,-923.665,1245.188,250,-4.71,0.0,50,3,11.95,30.0,16.31,39.3,-890.749,-752.157,-416.963,58.599,506.517,802.971,937.204,968.181,958.883,944.94,936.788,933.157,930.986,928.861,926.732,924.878,923.381,922.135,921.016,920.001,919.105,918.347,917.754,917.328,915.946,-0.28612303290414265
,Mixed / non conventional,4.0,8.0,5.0,9.0,3.51,0.02,17.01,1021.536,1245.188,250,4.28,0.0,50,4,11.95,30.0,16.31,39.3,-985.106,-831.881,-461.257,64.617,559.955,887.824,1036.313,1070.618,1060.381,1045.0,1036.017,1032.031,1029.66,1027.34,1025.012,1022.981,1021.341,1019.966,1018.723,1017.593,1016.603,1015.773,1015.128,1014.671,1013.153,0.0
,Mixed / non conventional,4.0,8.0,9.0,13.0,3.59,0.02,75.12,-505.823,1245.188,250,-8.84,0.0,50,5,11.95,30.0,16.31,39.3,-487.804,-411.978,-228.517,31.847,277.136,439.524,513.082,530.084,525.027,517.429,513.002,511.042,509.869,508.714,507.555,506.544,505.726,505.041,504.423,503.862,503.371,502.963,502.647,502.424,501.676,0.0
,Mixed / non conventional,4.0,8.0,13.0,7.0,3.56,0.01,-59.09,407.912,1245.013,250,10.87,0.0,50,1,11.94,30.0,16.31,39.3,-393.018,-332.023,-184.289,25.493,223.237,354.301,413.898,427.95,424.127,418.079,414.42,412.665,411.563,410.533,409.538,408.675,407.947,407.292,406.68,406.138,405.705,405.391,405.175,405.031,404.492,0.0
,Mixed / non conventional,4.0,8.0,7.0,19.0,3.8,0.01,-60.74,-484.285,1245.013,250,-9.78,0.0,50,2,11.94,30.0,16.31,39.3,-466.561,-394.191,-218.85,30.191,264.981,420.617,491.397,508.091,503.552,496.368,492.023,489.947,488.644,487.417,486.226,485.191,484.322,483.551,482.829,482.177,481.648,481.264,481.0,480.825,480.179,0.0
,Mixed / non conventional,4.0,8.0,19.0,1.0,5.28,0.01,275.61,-224.621,1245.013,250,-29.26,0.0,50,3,11.94,30.0,16.31,39.3,-216.319,-182.48,-100.842,14.748,123.452,195.34,227.938,235.573,233.447,230.127,228.127,227.179,226.595,226.051,225.519,225.051,224.657,224.306,223.977,223.674,223.425,223.246,223.128,223.054,222.751,0.0
,Mixed / non conventional,4.0,8.0,1.0,22.0,5.19,0.01,-295.32,212.411,1245.013,250,30.45,0.0,50,4,11.94,30.0,16.31,39.3,-204.583,-172.586,-95.388,13.92,116.72,184.705,215.537,222.766,220.767,217.638,215.753,214.854,214.29,213.761,213.253,212.812,212.442,212.11,211.794,211.51,211.284,211.123,211.019,210.952,210.664,0.0
,Mixed / non conventional,4.0,8.0,6.0,14.0,8.87,0.0,239.92,117.222,1245.013,250,94.25,0.0,50,6,11.94,30.0,16.31,39.3,-112.934,-95.384,-52.932,7.294,64.031,101.629,118.74,122.8,121.736,120.031,119.007,118.526,118.228,117.949,117.681,117.448,117.248,117.064,116.891,116.738,116.616,116.525,116.46,116.417,116.261,0.0
,Mixed / non conventional,4.0,8.0,14.0,2.0,4.61,0.0,151.9,-365.446,1245.013,250,-15.71,0.0,50,7,11.94,30.0,16.31,39.3,-351.97,-297.044,-164.362,23.68,200.652,317.77,370.92,383.388,379.933,374.526,371.265,369.707,368.731,367.816,366.93,366.155,365.504,364.925,364.386,363.902,363.509,363.22,363.022,362.893,362.399,0.0
,Mixed / non conventional,4.0,8.0,2.0,16.0,4.54,0.01,-155.74,337.152,1245.013,250,16.76,0.0,50,8,11.94,30.0,16.31,39.3,-324.688,-274.014,-151.602,21.879,185.143,293.181,342.199,353.687,350.49,345.499,342.492,341.06,340.168,339.334,338.526,337.817,337.214,336.67,336.161,335.707,335.337,335.065,334.881,334.765,334.313,0.0
,Mixed / non conventional,4.0,8.0,10.0,13.0,4.38,0.01,57.29,-212.332,1245.392,250,-25.7,0.0,50,1,11.93,30.0,16.31,39.3,-204.317,-172.387,-95.304,13.945,116.784,184.864,215.782,223.059,221.07,217.922,215.993,215.035,214.407,213.82,213.264,212.776,212.354,211.981,211.651,211.366,211.134,210.966,210.853,210.767,210.43,0.0
,Mixed / non conventional,4.0,8.0,10.0,14.0,4.44,0.01,180.21,-234.486,1243.56,250,-23.56,0.0,50,1,11.93,30.0,16.31,39.3,-225.649,-190.393,-105.291,15.335,128.917,204.158,238.381,246.481,244.31,240.813,238.63,237.51,236.766,236.086,235.451,234.907,234.455,234.066,233.723,233.428,233.186,232.998,232.855,232.742,232.37,0.0
,Mixed / non conventional,5.0,9.0,11.0,15.0,4.5,0.01,186.16,-245.893,1286.241,250,-23.56,0.0,50,1,11.9,30.0,16.31,39.3,-237.999,-200.887,-111.208,15.881,135.481,214.633,250.547,258.929,256.489,252.664,250.229,248.908,247.98,247.154,246.454,245.951,245.644,245.476,245.385,245.329,245.292,245.27,245.258,245.248,244.936,0.0
