HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.3,5.3,11.9,7.7,15.1,11.0
15.4,5.5,11.4,7.9,14.8,11.0
15.4,5.5,11.4,7.9,14.8,11.0
15.4,5.5,11.4,7.9,14.8,11.0
15.4,5.5,11.4,7.9,14.8,11.0
15.4,5.5,11.4,7.9,14.8,11.0
15.4,5.5,11.4,7.9,14.8,11.0
15.2,5.3,11.7,7.6,14.9,10.8
15.0,5.3,11.5,7.4,14.9,10.8
14.9,5.2,11.4,7.3,14.9,10.7
14.9,5.2,11.4,7.3,14.9,10.7
14.9,5.2,11.4,7.3,14.9,10.7
14.9,5.2,11.4,7.3,14.9,10.7
14.9,5.2,11.4,7.3,14.9,10.7
15.0,5.1,11.4,7.4,14.8,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
15.0,5.0,11.4,7.4,14.7,10.8
14.7,4.8,11.4,7.2,14.8,10.7
14.4,4.6,11.3,7.0,15.0,10.6
14.4,4.6,11.3,7.0,15.0,10.6
